kor_co_nm: 애큐온저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점,인터넷,스마트폰,전화(텔레뱅킹) | mtrt_int: 만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용) 만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용) | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 애큐온저축은행 | fin_prdt_nm: 직장인우대적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용) 만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용) | spcl_cnd: 최대 연 0.50% 우대금리 적용 ※ 우대금리 적용조건  ① 첫거래고객(가입시점 당행에 적립식 및 거치식 예금 미보유 고객) : 연 0.2% ② 전자금융거래로 이체/신규/만기해지 7회이상(신규가입일~만기일) : 연 0.1% ③ 개인정보 수집이용 동의(마케팅목적) : 연 0.1% | join_deny: 1 | join_member: 만 19세이상 직장인 | max_limit: 1000000
kor_co_nm: 애큐온저축은행 | fin_prdt_nm: 다모아자유적금2 | join_way: 스마트폰 | mtrt_int: 만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)  만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용) | spcl_cnd: 가입일 ~ 만기일까지 마케팅 동의 유지 : 1.0%  만기시까지 당행 오픈뱅킹 잔액모으기를 통한 해당 적금불입횟수 10회이상 : 1.5% | join_deny: 1 | join_member: 제한없음 | max_limit: 200000
kor_co_nm: 오에스비저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: - 만기 후 1개월 이내: 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용 - 만기 후 1개월 경과: 보통예금 금리(0.2%) | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 오에스비저축은행 | fin_prdt_nm: 프리스타일적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: - 만기 후 1개월 이내: 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용 - 만기 후 1개월 경과: 보통예금 금리(0.2%) | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 디비저축은행 | fin_prdt_nm: M-Dream Big 자유적금 (모바일) | join_way: 스마트폰 | mtrt_int: - 1개월 이하: 기본이율 - 1개월 초과: 0.5%  기본이율: 신규일 당시 고시이율(단, 우대이율 제외) | spcl_cnd: * 우대이율: 만기 유지시 만기축하 이율 연 0.40% 적용 - 기본이율 3.60% + 우대이율 0.40% ※ 우대이율은 중도해지시에는 적용되지 않습니다. - 자세한 내용은 당사 모바일뱅킹 APP을 통해 확인하여 주시기 바랍니다. | join_deny: 1 | join_member: 만 19세 이상 실명의 개인고객 (1인 1계좌 한정) | max_limit: 2000000
kor_co_nm: 디비저축은행 | fin_prdt_nm: 정기적금(창구) | join_way: 영업점 | mtrt_int: 1개월 이하: 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 1개월 초과: 0.1% | spcl_cnd: 해당사항없음 | join_deny: 1 | join_member: 실명의 개인, 법인 | max_limit: None
kor_co_nm: 디비저축은행 | fin_prdt_nm: E-정기적금(인터넷) | join_way: 인터넷 | mtrt_int: 1개월 이하: 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 1개월 초과: 0.1% | spcl_cnd: 최고우대금리 : 0.1 / 인터넷 가입시 : 기본이율* + 0.1% (*기본이율: 가입시 12개월 정기적금 고시이율) | join_deny: 1 | join_member: 실명의 개인, 법인 | max_limit: None
kor_co_nm: 디비저축은행 | fin_prdt_nm: M-정기적금(모바일) | join_way: 스마트폰 | mtrt_int: 1개월 이하: 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 1개월 초과: 0.1% | spcl_cnd: 최고우대금리 : 0.2 / 모바일 가입시 : 기본이율* + 0.2% (*기본이율: 가입시 12개월 정기적금 고시이율) | join_deny: 1 | join_member: 실명의 개인 | max_limit: None
kor_co_nm: 디비저축은행 | fin_prdt_nm: M-With 유 정기적금(모바일) | join_way: 스마트폰 | mtrt_int: 1개월 이하: 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 1개월 초과: 0.1% | spcl_cnd: 약정이율 최대 6.5% =기본4.0% + 우대2.5%(최대)  우대조건 1) 가입일기준 당행 예적금가입이력 없는 첫거래고객 또는 동일상품 한달이내 만기해지이력 존재고객 (+1.0%) 2) 만 19세 이상 만 39세 이하 고객 (+0.5%) 3) 계약기간중 앱이용 입출금거래 월2회이상 6개월이상 유지한 고객 (+0.5%) 4) 상품서비스안내 및 마케팅 전체 동의 고객 (+0.5%) | join_deny: 1 | join_member: 실명의 개인 | max_limit: None
kor_co_nm: 스카이저축은행 | fin_prdt_nm: 정기적금 | join_way: 영업점 | mtrt_int: 없음 | spcl_cnd: *만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율 | join_deny: 1 | join_member: 제한없음 | max_limit: None
