kor_co_nm: 애큐온저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점,인터넷,스마트폰,전화(텔레뱅킹) | mtrt_int: 만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용) 만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용) | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 애큐온저축은행 | fin_prdt_nm: 플러스회전식정기예금(변동금리) | join_way: 영업점,스마트폰 | mtrt_int: 만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리 만기후 1개월 초과 이후 해지 시 : 보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 애큐온저축은행 | fin_prdt_nm: 애큐온모바일예금 | join_way: 스마트폰 | mtrt_int: 만기후 1개월 이내 해지시 : 약정금리  만기후 1개월 초과 이후 해지 시 : 보통예금이율 | spcl_cnd: 모바일 가입 : 연 0.10% (고시금리 포함)  멤버십 동의 : 연 0.050% (고시금리 미포함) | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 애큐온저축은행 | fin_prdt_nm: 플러스회전식정기예금(변동금리,모바일) | join_way: 스마트폰 | mtrt_int: 만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리 만기후 1개월 초과 이후 해지 시 : 보통예금이율 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 애큐온저축은행 | fin_prdt_nm: 3-UP정기예금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 만기후 1개월 이내 해지 시 : 각 구간별 약정금리의 평균금리 (2019.07.01 신규부터 적용) 만기후 1개월 초과 이후 해지 시 : 보통예금이율 (2019.07.01 신규부터 적용) | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 애큐온저축은행 | fin_prdt_nm: 3-UP정기예금(모바일) | join_way: 스마트폰 | mtrt_int: 만기후 1개월 이내 해지 시 : 각 구간별 약정금리의 평균금리 (2019.07.01 신규부터 적용) 만기후 1개월 초과 이후 해지 시 : 보통예금이율 (2019.07.01 신규부터 적용) | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 애큐온저축은행 | fin_prdt_nm: 처음만난예금 | join_way: 스마트폰 | mtrt_int: 만기후 1개월 이내 해지시 : 약정금리  만기후 1개월 초과 이후 해지 시 : 보통예금이율 | spcl_cnd: * 최고우대금리 : 0.4% - 당행 정기예금 첫거래 고객 우대 : 0.3% (고시금리 포함) - 개인(신용)정보 마케팅(SMS)동의 유지 : 0.1% (고시금리 미포함) | join_deny: 3 | join_member: 당행 정기예금 가입 이력이 없는 개인 | max_limit: 10000000
kor_co_nm: 오에스비저축은행 | fin_prdt_nm: 정기예금 | join_way: 영업점 | mtrt_int: -만기후 1개월 이내 : 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용 -만기후 1개월 경과 : 보통예금 금리 적용 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 오에스비저축은행 | fin_prdt_nm: 인터넷정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: -만기후 1개월 이내 : 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용 -만기후 1개월 경과 : 보통예금 금리 적용 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 오에스비저축은행 | fin_prdt_nm: OSB회전식정기예금 | join_way: 영업점 | mtrt_int: -만기후 1개월 이내 : 마지막 회전주기의 약정이율과 동일상품 신규 약정 이율 중 낮은 이율 적용 -만기후 1개월 경과 : 보통예금 금리 적용 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
kor_co_nm: 오에스비저축은행 | fin_prdt_nm: 인터넷OSB회전식정기예금 | join_way: 인터넷,스마트폰 | mtrt_int: -만기후 1개월 이내 : 마지막 회전주기의 약정이율과 동일상품 신규 약정 이율 중 낮은 이율 적용 -만기후 1개월 경과 : 보통예금 금리 적용 | spcl_cnd: 없음 | join_deny: 1 | join_member: 제한없음 | max_limit: None
